actual,proposed
0.30000463128089905,0.20000000298023224
0.3015044629573822,0.20000000298023224
0.30300432443618774,0.20000000298023224
0.3045041859149933,0.20000000298023224
0.30600404739379883,0.20000000298023224
0.30750390887260437,0.20000000298023224
0.3090038001537323,0.20000000298023224
0.15238399803638458,0.19793976843357086
0.15276455879211426,0.19676174223423004
0.15529286861419678,0.19559378921985626
0.15776026248931885,0.19442863762378693
0.1601690798997879,0.19328387081623077
0.15519747138023376,0.19206903874874115
0.1531791090965271,0.1908753216266632
0.1467219442129135,0.18965595960617065
0.13588865101337433,0.18838873505592346
0.12945690751075745,0.18708737194538116
0.11864502727985382,0.1857454776763916
0.10351292043924332,0.18430978059768677
0.0841178223490715,0.18276642262935638
0.06923216581344604,0.18114440143108368
0.05006934329867363,0.17940649390220642
0.026684356853365898,0.17753145098686218
0.003488851711153984,0.17552421987056732
0.0,0.17341496050357819
0.0,0.1711472123861313
0.0,0.16869355738162994
0.0,0.16605128347873688
0.0,0.1632668524980545
0.0,0.1603371948003769
0.0,0.15727342665195465
0.0,0.15406997501850128
0.0,0.1507699340581894
0.0,0.1473405510187149
0.0,0.1437864601612091
0.0,0.14017820358276367
0.0,0.13647128641605377
0.0,0.13268154859542847
0.0,0.12884078919887543
0.0,0.12491390109062195
0.0,0.12093479931354523
0.0,0.11693848669528961
0.0,0.11289221793413162
0.0,0.10882875323295593
0.0,0.1047801598906517
0.0,0.10071028023958206
0.0,0.09665481746196747
0.0,0.0926087275147438
0.0,0.08857353031635284
0.0,0.08454747498035431
0.0,0.08056067675352097
0.0,0.07667691260576248
0.0,0.07292240858078003
0.0,0.06932611018419266
0.0,0.06584925204515457
0.0,0.06248699128627777
0.0,0.05923523008823395
0.0,0.05608970299363136
0.0,0.05307856574654579
0.0,0.05016452446579933
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.126715287566185
0.0,0.12566466629505157
0.00997406430542469,0.12475866079330444
0.022319070994853973,0.12396255135536194
0.043141577392816544,0.12333668768405914
0.05925390496850014,0.12284503132104874
0.075090691447258,0.1224779486656189
0.09938178211450577,0.12229835242033005
0.11894083023071289,0.122270867228508
0.1294858455657959,0.12232175469398499
0.15294551849365234,0.1225469559431076
0.1629919409751892,0.12284547835588455
0.17725719511508942,0.12324206531047821
0.19132819771766663,0.12373892962932587
0.20085477828979492,0.12429918348789215
0.20590564608573914,0.12489049136638641
0.2109055519104004,0.12550713121891022
0.22021591663360596,0.12618248164653778
0.2207016497850418,0.12685124576091766
0.22556547820568085,0.12754575908184052
0.2260282337665558,0.12823225557804108
0.22215233743190765,0.12887799739837646
0.21835651993751526,0.12948743999004364
0.20591920614242554,0.12999433279037476
0.20239366590976715,0.13047009706497192
0.1858556866645813,0.13081347942352295
0.17391927540302277,0.13106267154216766
0.1577950268983841,0.1311914026737213
0.13753558695316315,0.13117124140262604
0.11754992604255676,0.13100166618824005
0.09782540798187256,0.13069233298301697
0.07399089634418488,0.13021418452262878
0.04609508067369461,0.12953941524028778
0.018543172627687454,0.1286701112985611
3.7017241993453354e-05,0.12768496572971344
0.0,0.12635594606399536
0.0,0.1247936338186264
0.0,0.12296940386295319
0.0,0.12092583626508713
0.0,0.11879763007164001
0.0,0.11632944643497467
0.0,0.11369301378726959
0.0,0.11086096614599228
0.0,0.10783592611551285
0.0,0.10475745052099228
0.0,0.10136396437883377
0.0,0.09779661148786545
0.0,0.09409111738204956
0.0,0.09025220572948456
0.0,0.08631455898284912
0.0,0.08228055387735367
0.0,0.07815274596214294
0.0,0.07406218349933624
0.0,0.07007135450839996
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.1219884604215622
0.0,0.11980289220809937
0.0,0.11776173859834671
0.0,0.11586184799671173
0.0,0.11409734189510345
0.0,0.11246208101511002
0.0,0.11098555475473404
0.0,0.10966340452432632
0.0,0.10848701745271683
0.0,0.10745308548212051
0.0,0.10655706375837326
0.0,0.10576295107603073
0.0,0.10503188520669937
0.0,0.10439714044332504
0.0,0.1038544699549675
0.0,0.10339929163455963
0.004526791628450155,0.1030304878950119
0.014730039983987808,0.10274383425712585
0.024763567373156548,0.10253855586051941
0.030275912955403328,0.10237711668014526
0.031334370374679565,0.10222742706537247
0.036721475422382355,0.10212107747793198
0.037659935653209686,0.10202427208423615
0.03857304900884628,0.10193581879138947
0.04817967116832733,0.10192162543535233
0.05328323692083359,0.10194525867700577
0.06266822665929794,0.10203903168439865
0.05884190648794174,0.10210364311933517
0.050709523260593414,0.102107934653759
0.03832881897687912,0.10201895982027054
0.030473140999674797,0.10187526047229767
0.027074240148067474,0.10170994699001312
0.019349420443177223,0.10149018466472626
0.01607506535947323,0.10125166177749634
0.012827565893530846,0.10099304467439651
0.013964492827653885,0.10074875503778458
0.006347143556922674,0.10045231133699417
0.0031744157895445824,0.10013903677463531
2.2924399672774598e-05,0.09980766475200653
0.0,0.09946002066135406
0.0,0.09906402230262756
0.0,0.09865270555019379
0.0,0.09819484502077103
0.0,0.09772401303052902
0.24316257238388062,0.09724073112010956
0.24158048629760742,0.19851849973201752
0.240006223320961,0.19868424534797668
0.238438680768013,0.19883760809898376
0.2412363886833191,0.19901131093502045
0.23962022364139557,0.19917438924312592
0.23801171779632568,0.1993221640586853
0.23641033470630646,0.19946421682834625
0.23481501638889313,0.19958600401878357
0.2332252711057663,0.19969691336154938
0.23164063692092896,0.199798583984375
0.22570110857486725,0.19985845685005188
0.21546685695648193,0.19984228909015656
0.2053537666797638,0.19975592195987701
0.19535592198371887,0.1995965540409088
0.18110856413841248,0.19934062659740448
0.16702581942081451,0.1989847719669342
0.15309925377368927,0.19853560626506805
0.13932135701179504,0.19799205660820007
0.12132584303617477,0.1973324418067932
0.10352461785078049,0.19655239582061768
0.08154941350221634,0.19562479853630066
0.06416923552751541,0.1945926696062088
0.03823497146368027,0.1933811455965042
0.012577012181282043,0.19200672209262848
0.0,0.19044457376003265
0.0,0.18871977925300598
0.0,0.18681301176548004
0.0,0.18473085761070251
0.0,0.1824451982975006
0.0,0.17995470762252808
0.0,0.17730620503425598
0.0,0.17453894019126892
0.0,0.17157569527626038
0.0,0.16843558847904205
0.0,0.165155291557312
0.0,0.1617986559867859
0.0,0.15837223827838898
0.0,0.15483513474464417
0.0,0.1512017846107483
0.0,0.14746637642383575
0.0,0.14363540709018707
0.0,0.13977526128292084
0.0,0.13585247099399567
0.0,0.13190166652202606
0.0,0.12808287143707275
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.1973038762807846
0.0,0.1947137713432312
0.0,0.19222693145275116
0.0,0.18987129628658295
0.0,0.18767257034778595
0.0,0.18556319177150726
0.0,0.18356968462467194
0.0,0.18165646493434906
0.0,0.1797880083322525
0.0,0.17799371480941772
0.0,0.17623960971832275
0.0,0.1745559275150299
0.0,0.17293794453144073
0.0,0.1713550090789795
0.0,0.16977307200431824
0.0,0.16818837821483612
0.0,0.16660059988498688
0.0,0.16507656872272491
0.0,0.1635790765285492
0.0,0.16210991144180298
0.0,0.16063128411769867
0.09990354627370834,0.15911580622196198
0.0964675024151802,0.20000000298023224
0.10171008110046387,0.20000000298023224
0.10679329186677933,0.20000000298023224
0.1073642298579216,0.20000000298023224
0.11220724880695343,0.20000000298023224
0.11254680156707764,0.20000000298023224
0.1171669065952301,0.20000000298023224
0.1172918826341629,0.20000000298023224
